date,desc1,desc2,amount,portfolio,amount,portfolio,amount,portfolio,amount,portfolio,amount,portfolio,amount,portfolio,amount,portfolio,amount,portfolio,amount,portfolio
12/7/2017,B 50,Liberty Dev Corp - Goldman Sac,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,"-66,582",NY,,NJ,,LATFINSI,,LASDTF
12/7/2017,S 3125,Berks Co IDA - Tower Hlth,"3,535,872",LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/7/2017,S 2000,MA DFA - Emerson Clg,"2,353,216",LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/7/2017,S 1000,San Jose Fing Auth - Civic Ctr,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,"1,162,093",CA,,NY,,NJ,,LATFINSI,,LASDTF
12/7/2017,S 550,Citizens Property Insurance Co,,LATFHY,,LASDHYM,,NTL,"608,901",LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/7/2017,S 3000,Greater New Orleans Expwy,,LATFHY,,LASDHYM,"3,155,274",NTL,"350,586",LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/7/2017,B 105,IN Fin Auth - US Steel,,LATFHY,"-109,948",LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/7/2017,S 550,MA DFA - Emerson Clg,"642,492",LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/7/2017,S 225,NH Hlth & Ed - Sthrn NH Univ,,LATFHY,,LASDHYM,,NTL,"237,755",LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/7/2017,S 500,CA Stwde - So Cal Edison,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,"510,973",CA,,NY,,NJ,,LATFINSI,,LASDTF
12/7/2017,S 800,Philadelphia Sch Dist,"893,915",LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/7/2017,S 670,Santa Barbara Unified Sch Dist,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,"659,154",CA,,NY,,NJ,,LATFINSI,,LASDTF
12/7/2017,S 1000,Philadelphia Sch Dist,"1,115,813",LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/7/2017,S 8875,CA Hlth Facs - Kaiser Permanen,,LATFHY,,LASDHYM,"12,020,921",NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/7/2017,S 1000,St Paul Hsg - Healtheast,,LATFHY,,LASDHYM,,NTL,"1,104,868",LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/7/2017,S 7780,WI Hlth & Ed - Marshfield Hlth,"8,014,360",LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/7/2017,B 8795,IL State GO,,LATFHY,,LASDHYM,"-8,575,547",NTL,"-1,101,368",LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/7/2017,B 10,IL State GO,,LATFHY,,LASDHYM,,NTL,"-9,598",LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/7/2017,B 50,Phenix City IDB - Meadwestvaco,,LATFHY,,LASDHYM,,NTL,"-50,211",LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/7/2017,B 25,NJ Trans Trust Fund,,LATFHY,,LASDHYM,,NTL,"-10,459",LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/7/2017,B 25,Cook Co GO,,LATFHY,"-27,614",LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/7/2017,B 10,MSR Energy Auth - Citi,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,"-14,242",CA,,NY,,NJ,,LATFINSI,,LASDTF
12/7/2017,B 5,AL IDA - Office Max,,LATFHY,"-4,849",LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/7/2017,B 195,Southern CA Pub Pwr Auth - Gol,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,"-240,267",CA,,NY,,NJ,,LATFINSI,,LASDTF
12/8/2017,Capstock,Inflows/Outflows,"968,587",LATFHY,"95,253",LASDHYM,"372,026",NTL,"10,900",LAAMTTF,"52,395",CA,,NY,"43,000",NJ,"2,328,307",LATFINSI,"612,224",LASDTF
12/8/2017,B 1000,Port Auth NY & NJ,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,"-1,227,731",NY,,NJ,,LATFINSI,,LASDTF
12/11/2017,Capstock,Inflows/Outflows,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,1,LATFINSI,,LASDTF
12/12/2017,Capstock,Inflows/Outflows,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/13/2017,B 6700,IL State GO,,LATFHY,,LASDHYM,"-7,065,686",NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/13/2017,B 10000,IL State GO,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,"-10,620,700",LATFINSI,,LASDTF
12/13/2017,B 10820,AL PFA - AL Proton Therapy,"-6,377,670",LATFHY,,LASDHYM,"-2,119,349",NTL,,LAAMTTF,,CA,,NY,,NJ,"-2,119,349",LATFINSI,,LASDTF
12/14/2017,B 15690,MTA NY,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,"-2,443,780",NY,,NJ,"-16,727,674",LATFINSI,,LASDTF
12/14/2017,B 5000,MTA NY,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,"-6,068,650",LATFINSI,,LASDTF
12/14/2017,B 500,NJ Tpk Auth,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,"-597,680",NJ,,LATFINSI,,LASDTF
12/14/2017,B 1500,Long Island Power Auth,,LATFHY,,LASDHYM,"-1,148,310",NTL,,LAAMTTF,,CA,"-574,155",NY,,NJ,,LATFINSI,,LASDTF
12/14/2017,B 500,Long Island Power Auth,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,"-599,045",LASDTF
12/14/2017,B 500,Long Island Power Auth,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,"-604,795",LASDTF
12/14/2017,B 2250,Long Island Power Auth,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,"-2,626,650",LATFINSI,,LASDTF
12/14/2017,S 1000,Long Island Power Auth,,LATFHY,,LASDHYM,"1,159,180",NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/14/2017,B 1000,Univ of Rochester,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,"-1,064,500",NY,,NJ,,LATFINSI,,LASDTF
12/15/2017,Coupon,Coupon,"1,502,135",LATFHY,"282,918",LASDHYM,"1,535,685",NTL,"217,298",LAAMTTF,"25,000",CA,"560,750",NY,"263,431",NJ,"5,023,325",LATFINSI,"1,022,075",LASDTF
12/15/2017,Maturity,LUZERNE CNTY PA,,LATFHY,"100,000",LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/15/2017,Call,NY UDC - PIT,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,"595,000",LATFINSI,,LASDTF
12/15/2017,S 5,FL DFC - Renaissance Chtr Sch,,LATFHY,"5,000",LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/15/2017,S 130,WV EDA - Morgantown Energy,,LATFHY,,LASDHYM,"45,000",NTL,,LAAMTTF,,CA,,NY,,NJ,"85,000",LATFINSI,,LASDTF
12/18/2017,Call,Chicago Brd Ed,,LATFHY,"780,000",LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/18/2017,Call,Chicago Brd Ed,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,"8,770,000",LATFINSI,,LASDTF
12/19/2017,B 5500,OH Air Quality - Pratt Paper,"-5,582,180",LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/19/2017,B 5000,OH Air Quality - Pratt Paper,"-1,250,000",LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,"-3,853,975",LATFINSI,,LASDTF
12/19/2017,B 2000,OH Air Quality - Pratt Paper,,LATFHY,"-200,000",LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,"-1,800,000",LATFINSI,,LASDTF
12/20/2017,Call,SC Jobs EDA - Hampton Regl Med,"730,000",LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/20/2017,Call,SC Jobs EDA - Hampton Regl Med,"12,000,000",LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/20/2017,B 2120,SC Jobs EDA - Hampton Regl Med,"-2,261,001",LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/20/2017,B 670,SC Jobs EDA - Hampton Regl Med,,LATFHY,"-720,799",LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/20/2017,B 3815,SC Jobs EDA - Hampton Regl Med,"-3,996,365",LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/20/2017,B 6070,SC Jobs EDA - Hampton Regl Med,"-6,338,780",LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/20/2017,B 740,SC Jobs EDA - Hampton Regl Med,,LATFHY,"-807,777",LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/20/2017,B 700,SC Jobs EDA - Hampton Regl Med,,LATFHY,"-759,920",LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/20/2017,B 1000,SC Jobs EDA - Hampton Regl Med,"-1,053,270",LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/21/2017,Call,AZ Hlth Facs - Beatitudes,"9,735,000",LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/21/2017,Call,AZ Hlth Facs - Beatitudes,,LATFHY,"245,000",LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/29/2017,Call,Sarasota Hlth - Manatee,"2,895,000",LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/29/2017,Call,Sarasota Hlth - Manatee,"6,785,000",LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/30/2017,S 215,Aurora Tif - East River,"215,000",LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/30/2017,S 125,Aurora Tif - East River,"80,000",LATFHY,,LASDHYM,"45,000",NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
1/1/2018,Call,Susquehanna Area Regl Arpt,"7,870,000",LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
1/1/2018,Call,WA HFC - Herons Key,,LATFHY,"100,000",LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
1/1/2018,Call,North TX Twy Auth,,LATFHY,,LASDHYM,"615,000",NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
1/1/2018,Call,WA HFC - Herons Key,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,"125,000",LATFINSI,,LASDTF
1/1/2018,Call,Piedmont Muni Pwr Agy,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,"555,000",LATFINSI,,LASDTF
1/1/2018,Call,WA HFC - Herons Key,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,"100,000",LASDTF
1/1/2018,S 155,Valparaiso Facs - Pratt Paper,"80,000",LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,"75,000",LATFINSI,,LASDTF
1/1/2018,S 125,WA HFC - Rockwood,"65,000",LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,"60,000",LATFINSI,,LASDTF
1/1/2018,S 175,Harris Co Cultural Ed - Brazos,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,"175,000",LATFINSI,,LASDTF
1/1/2018,S 50,Suffolk Co IDA - Eastern Li Hs,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,"50,000",NY,,NJ,,LATFINSI,,LASDTF
1/1/2018,S 400,Atlanta Tax Alloc - Beltline,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,"400,000",LATFINSI,,LASDTF
1/1/2018,S 220,IN Hsg & Cmnty Dev - SF Mtge R,,LATFHY,,LASDHYM,"20,000",NTL,,LAAMTTF,,CA,,NY,,NJ,"40,000",LATFINSI,"160,000",LASDTF
1/1/2018,S 30,Overland Pk Dev - Conv Ctr,,LATFHY,"30,000",LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
1/1/2018,S 15,NC Hsg Fin Agy,,LATFHY,"15,000",LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
1/2/2018,Coupon,Coupon,"11,784,689",LATFHY,"1,061,760",LASDHYM,"11,913,763",NTL,"1,035,284",LAAMTTF,"649,750",CA,"1,923,818",NY,"780,059",NJ,"23,327,863",LATFINSI,"6,013,542",LASDTF
1/2/2018,Maturity,NEW HOPE CULTURAL ED FACS FINCORP TX RETIREMENT FAC REVENUE,,LATFHY,"100,000",LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
1/2/2018,Maturity,ILLINOIS ST,,LATFHY,"245,000",LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
1/2/2018,Maturity,CENTRL TX REGL MOBILITY AUTH REVENUE,,LATFHY,"250,000",LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
1/2/2018,Maturity,PENNSYLVANIA ST ECON DEV FING AUTH SEWAGE SLUDGE DISP REVENU,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,"1,030,000",LATFINSI,,LASDTF
1/2/2018,Maturity,GAITHERSBURG MD ECON DEV REVENUE,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,"3,535,000",LATFINSI,,LASDTF
1/2/2018,Maturity,VALDEZ AK MARINE TERMINAL REVENUE,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,"9,075,000",LASDTF
1/3/2018,Coupon,Coupon,"1,721",LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,"43,302",LASDTF
1/4/2018,Call (D),IN Hsg & Cmnty Dev - SF Mtge R,,LATFHY,,LASDHYM,"265,000",NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
1/4/2018,Call (D),IN Hsg & Cmnty Dev - SF Mtge R,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,"520,000",LATFINSI,,LASDTF
1/4/2018,Call (D),IN Hsg & Cmnty Dev - SF Mtge R,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,"1,980,000",LASDTF
